card_no	is_active	card_category	network	last_updated
CARD00748  	Y	DB	Meridian Primary	2025-11-15 00:00:00
CARD00383	Y	DB	Meridian Primary	2020-10-11 00:00:00
CARD00536	Y	DB	Meridian Affiliate	2020-07-30 00:00:00
CARD00003	Y	DB	Meridian Direct	2023-05-09 00:00:00
CARD00298	Y	CR	Meridian Primary	2022-11-16 00:00:00
CARD00240	Y	CR	Meridian Primary	2022-10-29 00:00:00
CARD00411	Y	CR	Meridian Primary	2024-06-11 00:00:00
CARD00612	Y	CR	Meridian Direct	2023-07-24 00:00:00
CARD00396	Y	DB	Meridian Affiliate	2025-02-28 00:00:00
CARD00190	Y	DB	Meridian Primary	2023-10-03 00:00:00
CARD00204	N	DB	Meridian Direct	2025-02-11 00:00:00
CARD00535	Y	PP	Meridian Direct	2022-08-31 00:00:00
CARD00310	N	CR	Meridian Primary	2024-07-20 00:00:00
CARD00552	Y	DB	Meridian Direct	2025-12-07 00:00:00
CARD00324 	Y	DB	Meridian Primary	2025-06-08 00:00:00
CARD00272	Y	CR	Meridian Direct	2025-07-23 00:00:00
CARD00540	N	CR	Meridian Primary	2025-11-08 00:00:00
CARD00308	Y	DB	Meridian Primary	2021-05-18 00:00:00
CARD00587	Y	DB	Meridian Primary	2025-08-12 00:00:00
CARD00021	N	DB	Meridian Primary	2022-02-12 00:00:00
CARD00472	Y	DB	Meridian Affiliate	2020-10-22 00:00:00
CARD00603	Y	CR	Meridian Primary	2021-04-08 00:00:00
CARD00320	N	CR	Meridian Primary	2021-04-11 00:00:00
CARD00319	Y	CR	Meridian Primary	2020-01-30 00:00:00
CARD00297	Y	CR	Meridian Direct	2022-02-23 00:00:00
CARD00191	Y	DB	Meridian Primary	2024-01-01 00:00:00
CARD00600	Y	DB	Meridian Primary	2024-03-27 00:00:00
CARD00724	Y	CR	Meridian Direct	2021-09-02 00:00:00
CARD00119	Y	DB	Meridian Direct	2025-09-15 00:00:00
CARD00416	N	CR	Meridian Primary	2023-04-13 00:00:00
CARD00357	Y	CR	Meridian Primary	2022-09-11 00:00:00
CARD00602	Y	CR	Meridian Primary	2025-10-14 00:00:00
CARD00156	Y	CR	Meridian Primary	2025-08-04 00:00:00
 CARD00385 	Y	CR	Meridian Direct	2021-09-09 00:00:00
CARD00163	Y	CR	Meridian Primary	2025-10-11 00:00:00
CARD00483	Y	DB	Meridian Primary	2025-03-10 00:00:00
CARD00098	N	DB	Meridian Primary	2021-06-12 00:00:00
CARD00089	Y	CR	Meridian Primary	2024-10-06 00:00:00
